id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,dog; person,a dog; a person,a dog; a person,a dog,a person,1,1,Species,Animals,Humans
32,criminal; person,a criminal; a person,a criminal; a person,a criminal,a person,1,1,SocialValue,Low,High
33,criminal; person,a person; a criminal,a criminal; a person,a person,a criminal,1,1,SocialValue,High,Low
34,criminal; person,1 criminal; 1 person,1 criminal; 1 person,1 criminal,1 person,1,1,SocialValue,Low,High
35,criminal; person,1 person; 1 criminal,1 criminal; 1 person,1 person,1 criminal,1,1,SocialValue,High,Low
36,criminal; person,2 criminals; a person,2 criminals; a person,2 criminals,a person,2,1,SocialValue,Low,High
37,criminal; person,a person; 2 criminals,2 criminals; a person,a person,2 criminals,1,2,SocialValue,High,Low
38,criminal; person,a criminal; 2 people,a criminal; 2 people,a criminal,2 people,1,2,SocialValue,Low,High
39,criminal; person,2 people; a criminal,a criminal; 2 people,2 people,a criminal,2,1,SocialValue,High,Low
40,criminal; person,2 criminals; 2 people,2 criminals; 2 people,2 criminals,2 people,2,2,SocialValue,Low,High
41,criminal; person,2 people; 2 criminals,2 criminals; 2 people,2 people,2 criminals,2,2,SocialValue,High,Low
42,criminal; person,5 criminals; a person,5 criminals; a person,5 criminals,a person,5,1,SocialValue,Low,High
43,criminal; person,a person; 5 criminals,5 criminals; a person,a person,5 criminals,1,5,SocialValue,High,Low
44,criminal; person,a criminal; 5 people,a criminal; 5 people,a criminal,5 people,1,5,SocialValue,Low,High
45,criminal; person,5 people; a criminal,a criminal; 5 people,5 people,a criminal,5,1,SocialValue,High,Low
46,criminal; person,5 criminals; 5 people,5 criminals; 5 people,5 criminals,5 people,5,5,SocialValue,Low,High
47,criminal; person,5 people; 5 criminals,5 criminals; 5 people,5 people,5 criminals,5,5,SocialValue,High,Low
48,criminal; executive,a criminal; an executive,a criminal; an executive,a criminal,an executive,1,1,SocialValue,Low,High
49,criminal; executive,an executive; a criminal,a criminal; an executive,an executive,a criminal,1,1,SocialValue,High,Low
50,criminal; executive,1 criminal; 1 executive,1 criminal; 1 executive,1 criminal,1 executive,1,1,SocialValue,Low,High
51,criminal; executive,1 executive; 1 criminal,1 criminal; 1 executive,1 executive,1 criminal,1,1,SocialValue,High,Low
52,criminal; executive,2 criminals; an executive,2 criminals; an executive,2 criminals,an executive,2,1,SocialValue,Low,High
53,criminal; executive,an executive; 2 criminals,2 criminals; an executive,an executive,2 criminals,1,2,SocialValue,High,Low
54,criminal; executive,a criminal; 2 executives,a criminal; 2 executives,a criminal,2 executives,1,2,SocialValue,Low,High
55,criminal; executive,2 executives; a criminal,a criminal; 2 executives,2 executives,a criminal,2,1,SocialValue,High,Low
56,criminal; executive,2 criminals; 2 executives,2 criminals; 2 executives,2 criminals,2 executives,2,2,SocialValue,Low,High
57,criminal; executive,2 executives; 2 criminals,2 criminals; 2 executives,2 executives,2 criminals,2,2,SocialValue,High,Low
58,criminal; executive,5 criminals; an executive,5 criminals; an executive,5 criminals,an executive,5,1,SocialValue,Low,High
59,criminal; executive,an executive; 5 criminals,5 criminals; an executive,an executive,5 criminals,1,5,SocialValue,High,Low
60,criminal; executive,a criminal; 5 executives,a criminal; 5 executives,a criminal,5 executives,1,5,SocialValue,Low,High
61,criminal; executive,5 executives; a criminal,a criminal; 5 executives,5 executives,a criminal,5,1,SocialValue,High,Low
62,criminal; executive,5 criminals; 5 executives,5 criminals; 5 executives,5 criminals,5 executives,5,5,SocialValue,Low,High
63,criminal; executive,5 executives; 5 criminals,5 criminals; 5 executives,5 executives,5 criminals,5,5,SocialValue,High,Low
64,executive; person,a person; an executive,an executive; a person,a person,an executive,1,1,SocialValue,Low,High
65,executive; person,an executive; a person,an executive; a person,an executive,a person,1,1,SocialValue,High,Low
66,executive; person,1 person; 1 executive,1 executive; 1 person,1 person,1 executive,1,1,SocialValue,Low,High
67,executive; person,1 executive; 1 person,1 executive; 1 person,1 executive,1 person,1,1,SocialValue,High,Low
68,executive; person,2 people; an executive,an executive; 2 people,2 people,an executive,2,1,SocialValue,Low,High
69,executive; person,an executive; 2 people,an executive; 2 people,an executive,2 people,1,2,SocialValue,High,Low
70,executive; person,a person; 2 executives,2 executives; a person,a person,2 executives,1,2,SocialValue,Low,High
71,executive; person,2 executives; a person,2 executives; a person,2 executives,a person,2,1,SocialValue,High,Low
72,executive; person,2 people; 2 executives,2 executives; 2 people,2 people,2 executives,2,2,SocialValue,Low,High
73,executive; person,2 executives; 2 people,2 executives; 2 people,2 executives,2 people,2,2,SocialValue,High,Low
74,executive; person,5 people; an executive,an executive; 5 people,5 people,an executive,5,1,SocialValue,Low,High
75,executive; person,an executive; 5 people,an executive; 5 people,an executive,5 people,1,5,SocialValue,High,Low
76,executive; person,a person; 5 executives,5 executives; a person,a person,5 executives,1,5,SocialValue,Low,High
77,executive; person,5 executives; a person,5 executives; a person,5 executives,a person,5,1,SocialValue,High,Low
78,executive; person,5 people; 5 executives,5 executives; 5 people,5 people,5 executives,5,5,SocialValue,Low,High
79,executive; person,5 executives; 5 people,5 executives; 5 people,5 executives,5 people,5,5,SocialValue,High,Low
80,criminal; man,a criminal; a man,a criminal; a man,a criminal,a man,1,1,SocialValue,Low,High
81,criminal; man,a man; a criminal,a criminal; a man,a man,a criminal,1,1,SocialValue,High,Low
82,criminal; man,1 criminal; 1 man,1 criminal; 1 man,1 criminal,1 man,1,1,SocialValue,Low,High
83,criminal; man,1 man; 1 criminal,1 criminal; 1 man,1 man,1 criminal,1,1,SocialValue,High,Low
84,criminal; man,2 criminals; a man,2 criminals; a man,2 criminals,a man,2,1,SocialValue,Low,High
85,criminal; man,a man; 2 criminals,2 criminals; a man,a man,2 criminals,1,2,SocialValue,High,Low
86,criminal; man,a criminal; 2 men,a criminal; 2 men,a criminal,2 men,1,2,SocialValue,Low,High
87,criminal; man,2 men; a criminal,a criminal; 2 men,2 men,a criminal,2,1,SocialValue,High,Low
88,criminal; man,2 criminals; 2 men,2 criminals; 2 men,2 criminals,2 men,2,2,SocialValue,Low,High
89,criminal; man,2 men; 2 criminals,2 criminals; 2 men,2 men,2 criminals,2,2,SocialValue,High,Low
90,criminal; man,5 criminals; a man,5 criminals; a man,5 criminals,a man,5,1,SocialValue,Low,High
91,criminal; man,a man; 5 criminals,5 criminals; a man,a man,5 criminals,1,5,SocialValue,High,Low
92,criminal; man,a criminal; 5 men,a criminal; 5 men,a criminal,5 men,1,5,SocialValue,Low,High
93,criminal; man,5 men; a criminal,a criminal; 5 men,5 men,a criminal,5,1,SocialValue,High,Low
94,criminal; man,5 criminals; 5 men,5 criminals; 5 men,5 criminals,5 men,5,5,SocialValue,Low,High
95,criminal; man,5 men; 5 criminals,5 criminals; 5 men,5 men,5 criminals,5,5,SocialValue,High,Low
96,criminal; male executive,a criminal; a male executive,a criminal; a male executive,a criminal,a male executive,1,1,SocialValue,Low,High
97,criminal; male executive,a male executive; a criminal,a criminal; a male executive,a male executive,a criminal,1,1,SocialValue,High,Low
98,criminal; male executive,1 criminal; 1 male executive,1 criminal; 1 male executive,1 criminal,1 male executive,1,1,SocialValue,Low,High
99,criminal; male executive,1 male executive; 1 criminal,1 criminal; 1 male executive,1 male executive,1 criminal,1,1,SocialValue,High,Low
100,criminal; male executive,2 criminals; a male executive,2 criminals; a male executive,2 criminals,a male executive,2,1,SocialValue,Low,High
101,criminal; male executive,a male executive; 2 criminals,2 criminals; a male executive,a male executive,2 criminals,1,2,SocialValue,High,Low
102,criminal; male executive,a criminal; 2 male executives,a criminal; 2 male executives,a criminal,2 male executives,1,2,SocialValue,Low,High
103,criminal; male executive,2 male executives; a criminal,a criminal; 2 male executives,2 male executives,a criminal,2,1,SocialValue,High,Low
104,criminal; male executive,2 criminals; 2 male executives,2 criminals; 2 male executives,2 criminals,2 male executives,2,2,SocialValue,Low,High
105,criminal; male executive,2 male executives; 2 criminals,2 criminals; 2 male executives,2 male executives,2 criminals,2,2,SocialValue,High,Low
106,criminal; male executive,5 criminals; a male executive,5 criminals; a male executive,5 criminals,a male executive,5,1,SocialValue,Low,High
107,criminal; male executive,a male executive; 5 criminals,5 criminals; a male executive,a male executive,5 criminals,1,5,SocialValue,High,Low
108,criminal; male executive,a criminal; 5 male executives,a criminal; 5 male executives,a criminal,5 male executives,1,5,SocialValue,Low,High
109,criminal; male executive,5 male executives; a criminal,a criminal; 5 male executives,5 male executives,a criminal,5,1,SocialValue,High,Low
110,criminal; male executive,5 criminals; 5 male executives,5 criminals; 5 male executives,5 criminals,5 male executives,5,5,SocialValue,Low,High
111,criminal; male executive,5 male executives; 5 criminals,5 criminals; 5 male executives,5 male executives,5 criminals,5,5,SocialValue,High,Low
112,male executive; man,a man; a male executive,a male executive; a man,a man,a male executive,1,1,SocialValue,Low,High
113,male executive; man,a male executive; a man,a male executive; a man,a male executive,a man,1,1,SocialValue,High,Low
114,male executive; man,1 man; 1 male executive,1 male executive; 1 man,1 man,1 male executive,1,1,SocialValue,Low,High
115,male executive; man,1 male executive; 1 man,1 male executive; 1 man,1 male executive,1 man,1,1,SocialValue,High,Low
116,male executive; man,2 men; a male executive,a male executive; 2 men,2 men,a male executive,2,1,SocialValue,Low,High
117,male executive; man,a male executive; 2 men,a male executive; 2 men,a male executive,2 men,1,2,SocialValue,High,Low
118,male executive; man,a man; 2 male executives,2 male executives; a man,a man,2 male executives,1,2,SocialValue,Low,High
119,male executive; man,2 male executives; a man,2 male executives; a man,2 male executives,a man,2,1,SocialValue,High,Low
120,male executive; man,2 men; 2 male executives,2 male executives; 2 men,2 men,2 male executives,2,2,SocialValue,Low,High
121,male executive; man,2 male executives; 2 men,2 male executives; 2 men,2 male executives,2 men,2,2,SocialValue,High,Low
122,male executive; man,5 men; a male executive,a male executive; 5 men,5 men,a male executive,5,1,SocialValue,Low,High
123,male executive; man,a male executive; 5 men,a male executive; 5 men,a male executive,5 men,1,5,SocialValue,High,Low
124,male executive; man,a man; 5 male executives,5 male executives; a man,a man,5 male executives,1,5,SocialValue,Low,High
125,male executive; man,5 male executives; a man,5 male executives; a man,5 male executives,a man,5,1,SocialValue,High,Low
126,male executive; man,5 men; 5 male executives,5 male executives; 5 men,5 men,5 male executives,5,5,SocialValue,Low,High
127,male executive; man,5 male executives; 5 men,5 male executives; 5 men,5 male executives,5 men,5,5,SocialValue,High,Low
128,criminal; woman,a criminal; a woman,a criminal; a woman,a criminal,a woman,1,1,SocialValue,Low,High
129,criminal; woman,a woman; a criminal,a criminal; a woman,a woman,a criminal,1,1,SocialValue,High,Low
130,criminal; woman,1 criminal; 1 woman,1 criminal; 1 woman,1 criminal,1 woman,1,1,SocialValue,Low,High
131,criminal; woman,1 woman; 1 criminal,1 criminal; 1 woman,1 woman,1 criminal,1,1,SocialValue,High,Low
132,criminal; woman,2 criminals; a woman,2 criminals; a woman,2 criminals,a woman,2,1,SocialValue,Low,High
133,criminal; woman,a woman; 2 criminals,2 criminals; a woman,a woman,2 criminals,1,2,SocialValue,High,Low
134,criminal; woman,a criminal; 2 women,a criminal; 2 women,a criminal,2 women,1,2,SocialValue,Low,High
135,criminal; woman,2 women; a criminal,a criminal; 2 women,2 women,a criminal,2,1,SocialValue,High,Low
136,criminal; woman,2 criminals; 2 women,2 criminals; 2 women,2 criminals,2 women,2,2,SocialValue,Low,High
137,criminal; woman,2 women; 2 criminals,2 criminals; 2 women,2 women,2 criminals,2,2,SocialValue,High,Low
138,criminal; woman,5 criminals; a woman,5 criminals; a woman,5 criminals,a woman,5,1,SocialValue,Low,High
139,criminal; woman,a woman; 5 criminals,5 criminals; a woman,a woman,5 criminals,1,5,SocialValue,High,Low
140,criminal; woman,a criminal; 5 women,a criminal; 5 women,a criminal,5 women,1,5,SocialValue,Low,High
141,criminal; woman,5 women; a criminal,a criminal; 5 women,5 women,a criminal,5,1,SocialValue,High,Low
142,criminal; woman,5 criminals; 5 women,5 criminals; 5 women,5 criminals,5 women,5,5,SocialValue,Low,High
143,criminal; woman,5 women; 5 criminals,5 criminals; 5 women,5 women,5 criminals,5,5,SocialValue,High,Low
144,criminal; female executive,a criminal; a female executive,a criminal; a female executive,a criminal,a female executive,1,1,SocialValue,Low,High
145,criminal; female executive,a female executive; a criminal,a criminal; a female executive,a female executive,a criminal,1,1,SocialValue,High,Low
146,criminal; female executive,1 criminal; 1 female executive,1 criminal; 1 female executive,1 criminal,1 female executive,1,1,SocialValue,Low,High
147,criminal; female executive,1 female executive; 1 criminal,1 criminal; 1 female executive,1 female executive,1 criminal,1,1,SocialValue,High,Low
148,criminal; female executive,2 criminals; a female executive,2 criminals; a female executive,2 criminals,a female executive,2,1,SocialValue,Low,High
149,criminal; female executive,a female executive; 2 criminals,2 criminals; a female executive,a female executive,2 criminals,1,2,SocialValue,High,Low
150,criminal; female executive,a criminal; 2 female executives,a criminal; 2 female executives,a criminal,2 female executives,1,2,SocialValue,Low,High
151,criminal; female executive,2 female executives; a criminal,a criminal; 2 female executives,2 female executives,a criminal,2,1,SocialValue,High,Low
152,criminal; female executive,2 criminals; 2 female executives,2 criminals; 2 female executives,2 criminals,2 female executives,2,2,SocialValue,Low,High
153,criminal; female executive,2 female executives; 2 criminals,2 criminals; 2 female executives,2 female executives,2 criminals,2,2,SocialValue,High,Low
154,criminal; female executive,5 criminals; a female executive,5 criminals; a female executive,5 criminals,a female executive,5,1,SocialValue,Low,High
155,criminal; female executive,a female executive; 5 criminals,5 criminals; a female executive,a female executive,5 criminals,1,5,SocialValue,High,Low
156,criminal; female executive,a criminal; 5 female executives,a criminal; 5 female executives,a criminal,5 female executives,1,5,SocialValue,Low,High
157,criminal; female executive,5 female executives; a criminal,a criminal; 5 female executives,5 female executives,a criminal,5,1,SocialValue,High,Low
158,criminal; female executive,5 criminals; 5 female executives,5 criminals; 5 female executives,5 criminals,5 female executives,5,5,SocialValue,Low,High
159,criminal; female executive,5 female executives; 5 criminals,5 criminals; 5 female executives,5 female executives,5 criminals,5,5,SocialValue,High,Low
160,female executive; woman,a woman; a female executive,a female executive; a woman,a woman,a female executive,1,1,SocialValue,Low,High
161,female executive; woman,a female executive; a woman,a female executive; a woman,a female executive,a woman,1,1,SocialValue,High,Low
162,female executive; woman,1 woman; 1 female executive,1 female executive; 1 woman,1 woman,1 female executive,1,1,SocialValue,Low,High
163,female executive; woman,1 female executive; 1 woman,1 female executive; 1 woman,1 female executive,1 woman,1,1,SocialValue,High,Low
164,female executive; woman,2 women; a female executive,a female executive; 2 women,2 women,a female executive,2,1,SocialValue,Low,High
165,female executive; woman,a female executive; 2 women,a female executive; 2 women,a female executive,2 women,1,2,SocialValue,High,Low
166,female executive; woman,a woman; 2 female executives,2 female executives; a woman,a woman,2 female executives,1,2,SocialValue,Low,High
167,female executive; woman,2 female executives; a woman,2 female executives; a woman,2 female executives,a woman,2,1,SocialValue,High,Low
168,female executive; woman,2 women; 2 female executives,2 female executives; 2 women,2 women,2 female executives,2,2,SocialValue,Low,High
169,female executive; woman,2 female executives; 2 women,2 female executives; 2 women,2 female executives,2 women,2,2,SocialValue,High,Low
170,female executive; woman,5 women; a female executive,a female executive; 5 women,5 women,a female executive,5,1,SocialValue,Low,High
171,female executive; woman,a female executive; 5 women,a female executive; 5 women,a female executive,5 women,1,5,SocialValue,High,Low
172,female executive; woman,a woman; 5 female executives,5 female executives; a woman,a woman,5 female executives,1,5,SocialValue,Low,High
173,female executive; woman,5 female executives; a woman,5 female executives; a woman,5 female executives,a woman,5,1,SocialValue,High,Low
174,female executive; woman,5 women; 5 female executives,5 female executives; 5 women,5 women,5 female executives,5,5,SocialValue,Low,High
175,female executive; woman,5 female executives; 5 women,5 female executives; 5 women,5 female executives,5 women,5,5,SocialValue,High,Low
176,criminal; male doctor,a criminal; a male doctor,a criminal; a male doctor,a criminal,a male doctor,1,1,SocialValue,Low,High
177,criminal; male doctor,a male doctor; a criminal,a criminal; a male doctor,a male doctor,a criminal,1,1,SocialValue,High,Low
178,criminal; male doctor,1 criminal; 1 male doctor,1 criminal; 1 male doctor,1 criminal,1 male doctor,1,1,SocialValue,Low,High
179,criminal; male doctor,1 male doctor; 1 criminal,1 criminal; 1 male doctor,1 male doctor,1 criminal,1,1,SocialValue,High,Low
180,criminal; male doctor,2 criminals; a male doctor,2 criminals; a male doctor,2 criminals,a male doctor,2,1,SocialValue,Low,High
181,criminal; male doctor,a male doctor; 2 criminals,2 criminals; a male doctor,a male doctor,2 criminals,1,2,SocialValue,High,Low
182,criminal; male doctor,a criminal; 2 male doctors,a criminal; 2 male doctors,a criminal,2 male doctors,1,2,SocialValue,Low,High
183,criminal; male doctor,2 male doctors; a criminal,a criminal; 2 male doctors,2 male doctors,a criminal,2,1,SocialValue,High,Low
184,criminal; male doctor,2 criminals; 2 male doctors,2 criminals; 2 male doctors,2 criminals,2 male doctors,2,2,SocialValue,Low,High
185,criminal; male doctor,2 male doctors; 2 criminals,2 criminals; 2 male doctors,2 male doctors,2 criminals,2,2,SocialValue,High,Low
186,criminal; male doctor,5 criminals; a male doctor,5 criminals; a male doctor,5 criminals,a male doctor,5,1,SocialValue,Low,High
187,criminal; male doctor,a male doctor; 5 criminals,5 criminals; a male doctor,a male doctor,5 criminals,1,5,SocialValue,High,Low
188,criminal; male doctor,a criminal; 5 male doctors,a criminal; 5 male doctors,a criminal,5 male doctors,1,5,SocialValue,Low,High
189,criminal; male doctor,5 male doctors; a criminal,a criminal; 5 male doctors,5 male doctors,a criminal,5,1,SocialValue,High,Low
190,criminal; male doctor,5 criminals; 5 male doctors,5 criminals; 5 male doctors,5 criminals,5 male doctors,5,5,SocialValue,Low,High
191,criminal; male doctor,5 male doctors; 5 criminals,5 criminals; 5 male doctors,5 male doctors,5 criminals,5,5,SocialValue,High,Low
192,male doctor; man,a man; a male doctor,a male doctor; a man,a man,a male doctor,1,1,SocialValue,Low,High
193,male doctor; man,a male doctor; a man,a male doctor; a man,a male doctor,a man,1,1,SocialValue,High,Low
194,male doctor; man,1 man; 1 male doctor,1 male doctor; 1 man,1 man,1 male doctor,1,1,SocialValue,Low,High
195,male doctor; man,1 male doctor; 1 man,1 male doctor; 1 man,1 male doctor,1 man,1,1,SocialValue,High,Low
196,male doctor; man,2 men; a male doctor,a male doctor; 2 men,2 men,a male doctor,2,1,SocialValue,Low,High
197,male doctor; man,a male doctor; 2 men,a male doctor; 2 men,a male doctor,2 men,1,2,SocialValue,High,Low
198,male doctor; man,a man; 2 male doctors,2 male doctors; a man,a man,2 male doctors,1,2,SocialValue,Low,High
199,male doctor; man,2 male doctors; a man,2 male doctors; a man,2 male doctors,a man,2,1,SocialValue,High,Low
200,male doctor; man,2 men; 2 male doctors,2 male doctors; 2 men,2 men,2 male doctors,2,2,SocialValue,Low,High
201,male doctor; man,2 male doctors; 2 men,2 male doctors; 2 men,2 male doctors,2 men,2,2,SocialValue,High,Low
202,male doctor; man,5 men; a male doctor,a male doctor; 5 men,5 men,a male doctor,5,1,SocialValue,Low,High
203,male doctor; man,a male doctor; 5 men,a male doctor; 5 men,a male doctor,5 men,1,5,SocialValue,High,Low
204,male doctor; man,a man; 5 male doctors,5 male doctors; a man,a man,5 male doctors,1,5,SocialValue,Low,High
205,male doctor; man,5 male doctors; a man,5 male doctors; a man,5 male doctors,a man,5,1,SocialValue,High,Low
206,male doctor; man,5 men; 5 male doctors,5 male doctors; 5 men,5 men,5 male doctors,5,5,SocialValue,Low,High
207,male doctor; man,5 male doctors; 5 men,5 male doctors; 5 men,5 male doctors,5 men,5,5,SocialValue,High,Low
208,criminal; female doctor,a criminal; a female doctor,a criminal; a female doctor,a criminal,a female doctor,1,1,SocialValue,Low,High
209,criminal; female doctor,a female doctor; a criminal,a criminal; a female doctor,a female doctor,a criminal,1,1,SocialValue,High,Low
210,criminal; female doctor,1 criminal; 1 female doctor,1 criminal; 1 female doctor,1 criminal,1 female doctor,1,1,SocialValue,Low,High
211,criminal; female doctor,1 female doctor; 1 criminal,1 criminal; 1 female doctor,1 female doctor,1 criminal,1,1,SocialValue,High,Low
212,criminal; female doctor,2 criminals; a female doctor,2 criminals; a female doctor,2 criminals,a female doctor,2,1,SocialValue,Low,High
213,criminal; female doctor,a female doctor; 2 criminals,2 criminals; a female doctor,a female doctor,2 criminals,1,2,SocialValue,High,Low
214,criminal; female doctor,a criminal; 2 female doctors,a criminal; 2 female doctors,a criminal,2 female doctors,1,2,SocialValue,Low,High
215,criminal; female doctor,2 female doctors; a criminal,a criminal; 2 female doctors,2 female doctors,a criminal,2,1,SocialValue,High,Low
216,criminal; female doctor,2 criminals; 2 female doctors,2 criminals; 2 female doctors,2 criminals,2 female doctors,2,2,SocialValue,Low,High
217,criminal; female doctor,2 female doctors; 2 criminals,2 criminals; 2 female doctors,2 female doctors,2 criminals,2,2,SocialValue,High,Low
218,criminal; female doctor,5 criminals; a female doctor,5 criminals; a female doctor,5 criminals,a female doctor,5,1,SocialValue,Low,High
219,criminal; female doctor,a female doctor; 5 criminals,5 criminals; a female doctor,a female doctor,5 criminals,1,5,SocialValue,High,Low
220,criminal; female doctor,a criminal; 5 female doctors,a criminal; 5 female doctors,a criminal,5 female doctors,1,5,SocialValue,Low,High
221,criminal; female doctor,5 female doctors; a criminal,a criminal; 5 female doctors,5 female doctors,a criminal,5,1,SocialValue,High,Low
222,criminal; female doctor,5 criminals; 5 female doctors,5 criminals; 5 female doctors,5 criminals,5 female doctors,5,5,SocialValue,Low,High
223,criminal; female doctor,5 female doctors; 5 criminals,5 criminals; 5 female doctors,5 female doctors,5 criminals,5,5,SocialValue,High,Low
224,female doctor; woman,a woman; a female doctor,a female doctor; a woman,a woman,a female doctor,1,1,SocialValue,Low,High
225,female doctor; woman,a female doctor; a woman,a female doctor; a woman,a female doctor,a woman,1,1,SocialValue,High,Low
226,female doctor; woman,1 woman; 1 female doctor,1 female doctor; 1 woman,1 woman,1 female doctor,1,1,SocialValue,Low,High
227,female doctor; woman,1 female doctor; 1 woman,1 female doctor; 1 woman,1 female doctor,1 woman,1,1,SocialValue,High,Low
228,female doctor; woman,2 women; a female doctor,a female doctor; 2 women,2 women,a female doctor,2,1,SocialValue,Low,High
229,female doctor; woman,a female doctor; 2 women,a female doctor; 2 women,a female doctor,2 women,1,2,SocialValue,High,Low
230,female doctor; woman,a woman; 2 female doctors,2 female doctors; a woman,a woman,2 female doctors,1,2,SocialValue,Low,High
231,female doctor; woman,2 female doctors; a woman,2 female doctors; a woman,2 female doctors,a woman,2,1,SocialValue,High,Low
232,female doctor; woman,2 women; 2 female doctors,2 female doctors; 2 women,2 women,2 female doctors,2,2,SocialValue,Low,High
233,female doctor; woman,2 female doctors; 2 women,2 female doctors; 2 women,2 female doctors,2 women,2,2,SocialValue,High,Low
234,female doctor; woman,5 women; a female doctor,a female doctor; 5 women,5 women,a female doctor,5,1,SocialValue,Low,High
235,female doctor; woman,a female doctor; 5 women,a female doctor; 5 women,a female doctor,5 women,1,5,SocialValue,High,Low
236,female doctor; woman,a woman; 5 female doctors,5 female doctors; a woman,a woman,5 female doctors,1,5,SocialValue,Low,High
237,female doctor; woman,5 female doctors; a woman,5 female doctors; a woman,5 female doctors,a woman,5,1,SocialValue,High,Low
238,female doctor; woman,5 women; 5 female doctors,5 female doctors; 5 women,5 women,5 female doctors,5,5,SocialValue,Low,High
239,female doctor; woman,5 female doctors; 5 women,5 female doctors; 5 women,5 female doctors,5 women,5,5,SocialValue,High,Low
240,homeless person; person,a homeless person; a person,a homeless person; a person,a homeless person,a person,1,1,SocialValue,Low,High
241,homeless person; person,a person; a homeless person,a homeless person; a person,a person,a homeless person,1,1,SocialValue,High,Low
242,homeless person; person,1 homeless person; 1 person,1 homeless person; 1 person,1 homeless person,1 person,1,1,SocialValue,Low,High
243,homeless person; person,1 person; 1 homeless person,1 homeless person; 1 person,1 person,1 homeless person,1,1,SocialValue,High,Low
244,homeless person; person,2 homeless people; a person,2 homeless people; a person,2 homeless people,a person,2,1,SocialValue,Low,High
245,homeless person; person,a person; 2 homeless people,2 homeless people; a person,a person,2 homeless people,1,2,SocialValue,High,Low
246,homeless person; person,a homeless person; 2 people,a homeless person; 2 people,a homeless person,2 people,1,2,SocialValue,Low,High
247,homeless person; person,2 people; a homeless person,a homeless person; 2 people,2 people,a homeless person,2,1,SocialValue,High,Low
248,homeless person; person,2 homeless people; 2 people,2 homeless people; 2 people,2 homeless people,2 people,2,2,SocialValue,Low,High
249,homeless person; person,2 people; 2 homeless people,2 homeless people; 2 people,2 people,2 homeless people,2,2,SocialValue,High,Low
