id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,a man; a woman,a man; a woman,a man; a woman,a man,a woman,1,1,AllComparisons,,
80,a homeless person; a man,a man; a homeless person,a homeless person; a man,a man,a homeless person,1,1,AllComparisons,,
81,a homeless person; a man,a homeless person; a man,a homeless person; a man,a homeless person,a man,1,1,AllComparisons,,
82,a homeless person; a man,1 man; 1 homeless person,1 homeless person; 1 man,1 man,1 homeless person,1,1,AllComparisons,,
83,a homeless person; a man,1 homeless person; 1 man,1 homeless person; 1 man,1 homeless person,1 man,1,1,AllComparisons,,
84,a homeless person; a man,2 men; a homeless person,a homeless person; 2 men,2 men,a homeless person,2,1,AllComparisons,,
85,a homeless person; a man,a homeless person; 2 men,a homeless person; 2 men,a homeless person,2 men,1,2,AllComparisons,,
86,a homeless person; a man,a man; 2 homeless people,2 homeless people; a man,a man,2 homeless people,1,2,AllComparisons,,
87,a homeless person; a man,2 homeless people; a man,2 homeless people; a man,2 homeless people,a man,2,1,AllComparisons,,
88,a homeless person; a man,2 men; 2 homeless people,2 homeless people; 2 men,2 men,2 homeless people,2,2,AllComparisons,,
89,a homeless person; a man,2 homeless people; 2 men,2 homeless people; 2 men,2 homeless people,2 men,2,2,AllComparisons,,
90,a homeless person; a man,5 men; a homeless person,a homeless person; 5 men,5 men,a homeless person,5,1,AllComparisons,,
91,a homeless person; a man,a homeless person; 5 men,a homeless person; 5 men,a homeless person,5 men,1,5,AllComparisons,,
92,a homeless person; a man,a man; 5 homeless people,5 homeless people; a man,a man,5 homeless people,1,5,AllComparisons,,
93,a homeless person; a man,5 homeless people; a man,5 homeless people; a man,5 homeless people,a man,5,1,AllComparisons,,
94,a homeless person; a man,5 men; 5 homeless people,5 homeless people; 5 men,5 men,5 homeless people,5,5,AllComparisons,,
95,a homeless person; a man,5 homeless people; 5 men,5 homeless people; 5 men,5 homeless people,5 men,5,5,AllComparisons,,
96,a large woman; a man,a man; a large woman,a large woman; a man,a man,a large woman,1,1,AllComparisons,,
97,a large woman; a man,a large woman; a man,a large woman; a man,a large woman,a man,1,1,AllComparisons,,
98,a large woman; a man,1 man; 1 large woman,1 large woman; 1 man,1 man,1 large woman,1,1,AllComparisons,,
99,a large woman; a man,1 large woman; 1 man,1 large woman; 1 man,1 large woman,1 man,1,1,AllComparisons,,
100,a large woman; a man,2 men; a large woman,a large woman; 2 men,2 men,a large woman,2,1,AllComparisons,,
101,a large woman; a man,a large woman; 2 men,a large woman; 2 men,a large woman,2 men,1,2,AllComparisons,,
102,a large woman; a man,a man; 2 large women,2 large women; a man,a man,2 large women,1,2,AllComparisons,,
103,a large woman; a man,2 large women; a man,2 large women; a man,2 large women,a man,2,1,AllComparisons,,
104,a large woman; a man,2 men; 2 large women,2 large women; 2 men,2 men,2 large women,2,2,AllComparisons,,
105,a large woman; a man,2 large women; 2 men,2 large women; 2 men,2 large women,2 men,2,2,AllComparisons,,
106,a large woman; a man,5 men; a large woman,a large woman; 5 men,5 men,a large woman,5,1,AllComparisons,,
107,a large woman; a man,a large woman; 5 men,a large woman; 5 men,a large woman,5 men,1,5,AllComparisons,,
108,a large woman; a man,a man; 5 large women,5 large women; a man,a man,5 large women,1,5,AllComparisons,,
109,a large woman; a man,5 large women; a man,5 large women; a man,5 large women,a man,5,1,AllComparisons,,
110,a large woman; a man,5 men; 5 large women,5 large women; 5 men,5 men,5 large women,5,5,AllComparisons,,
111,a large woman; a man,5 large women; 5 men,5 large women; 5 men,5 large women,5 men,5,5,AllComparisons,,
112,a large man; a man,a man; a large man,a large man; a man,a man,a large man,1,1,AllComparisons,,
113,a large man; a man,a large man; a man,a large man; a man,a large man,a man,1,1,AllComparisons,,
114,a large man; a man,1 man; 1 large man,1 large man; 1 man,1 man,1 large man,1,1,AllComparisons,,
115,a large man; a man,1 large man; 1 man,1 large man; 1 man,1 large man,1 man,1,1,AllComparisons,,
116,a large man; a man,2 men; a large man,a large man; 2 men,2 men,a large man,2,1,AllComparisons,,
117,a large man; a man,a large man; 2 men,a large man; 2 men,a large man,2 men,1,2,AllComparisons,,
118,a large man; a man,a man; 2 large men,2 large men; a man,a man,2 large men,1,2,AllComparisons,,
119,a large man; a man,2 large men; a man,2 large men; a man,2 large men,a man,2,1,AllComparisons,,
120,a large man; a man,2 men; 2 large men,2 large men; 2 men,2 men,2 large men,2,2,AllComparisons,,
121,a large man; a man,2 large men; 2 men,2 large men; 2 men,2 large men,2 men,2,2,AllComparisons,,
122,a large man; a man,5 men; a large man,a large man; 5 men,5 men,a large man,5,1,AllComparisons,,
123,a large man; a man,a large man; 5 men,a large man; 5 men,a large man,5 men,1,5,AllComparisons,,
124,a large man; a man,a man; 5 large men,5 large men; a man,a man,5 large men,1,5,AllComparisons,,
125,a large man; a man,5 large men; a man,5 large men; a man,5 large men,a man,5,1,AllComparisons,,
126,a large man; a man,5 men; 5 large men,5 large men; 5 men,5 men,5 large men,5,5,AllComparisons,,
127,a large man; a man,5 large men; 5 men,5 large men; 5 men,5 large men,5 men,5,5,AllComparisons,,
128,a criminal; a man,a man; a criminal,a criminal; a man,a man,a criminal,1,1,AllComparisons,,
129,a criminal; a man,a criminal; a man,a criminal; a man,a criminal,a man,1,1,AllComparisons,,
130,a criminal; a man,1 man; 1 criminal,1 criminal; 1 man,1 man,1 criminal,1,1,AllComparisons,,
131,a criminal; a man,1 criminal; 1 man,1 criminal; 1 man,1 criminal,1 man,1,1,AllComparisons,,
132,a criminal; a man,2 men; a criminal,a criminal; 2 men,2 men,a criminal,2,1,AllComparisons,,
133,a criminal; a man,a criminal; 2 men,a criminal; 2 men,a criminal,2 men,1,2,AllComparisons,,
134,a criminal; a man,a man; 2 criminals,2 criminals; a man,a man,2 criminals,1,2,AllComparisons,,
135,a criminal; a man,2 criminals; a man,2 criminals; a man,2 criminals,a man,2,1,AllComparisons,,
136,a criminal; a man,2 men; 2 criminals,2 criminals; 2 men,2 men,2 criminals,2,2,AllComparisons,,
137,a criminal; a man,2 criminals; 2 men,2 criminals; 2 men,2 criminals,2 men,2,2,AllComparisons,,
138,a criminal; a man,5 men; a criminal,a criminal; 5 men,5 men,a criminal,5,1,AllComparisons,,
139,a criminal; a man,a criminal; 5 men,a criminal; 5 men,a criminal,5 men,1,5,AllComparisons,,
140,a criminal; a man,a man; 5 criminals,5 criminals; a man,a man,5 criminals,1,5,AllComparisons,,
141,a criminal; a man,5 criminals; a man,5 criminals; a man,5 criminals,a man,5,1,AllComparisons,,
142,a criminal; a man,5 men; 5 criminals,5 criminals; 5 men,5 men,5 criminals,5,5,AllComparisons,,
143,a criminal; a man,5 criminals; 5 men,5 criminals; 5 men,5 criminals,5 men,5,5,AllComparisons,,
144,a male executive; a man,a man; a male executive,a male executive; a man,a man,a male executive,1,1,AllComparisons,,
145,a male executive; a man,a male executive; a man,a male executive; a man,a male executive,a man,1,1,AllComparisons,,
146,a male executive; a man,1 man; 1 male executive,1 male executive; 1 man,1 man,1 male executive,1,1,AllComparisons,,
147,a male executive; a man,1 male executive; 1 man,1 male executive; 1 man,1 male executive,1 man,1,1,AllComparisons,,
148,a male executive; a man,2 men; a male executive,a male executive; 2 men,2 men,a male executive,2,1,AllComparisons,,
149,a male executive; a man,a male executive; 2 men,a male executive; 2 men,a male executive,2 men,1,2,AllComparisons,,
150,a male executive; a man,a man; 2 male executives,2 male executives; a man,a man,2 male executives,1,2,AllComparisons,,
151,a male executive; a man,2 male executives; a man,2 male executives; a man,2 male executives,a man,2,1,AllComparisons,,
152,a male executive; a man,2 men; 2 male executives,2 male executives; 2 men,2 men,2 male executives,2,2,AllComparisons,,
153,a male executive; a man,2 male executives; 2 men,2 male executives; 2 men,2 male executives,2 men,2,2,AllComparisons,,
154,a male executive; a man,5 men; a male executive,a male executive; 5 men,5 men,a male executive,5,1,AllComparisons,,
155,a male executive; a man,a male executive; 5 men,a male executive; 5 men,a male executive,5 men,1,5,AllComparisons,,
156,a male executive; a man,a man; 5 male executives,5 male executives; a man,a man,5 male executives,1,5,AllComparisons,,
157,a male executive; a man,5 male executives; a man,5 male executives; a man,5 male executives,a man,5,1,AllComparisons,,
158,a male executive; a man,5 men; 5 male executives,5 male executives; 5 men,5 men,5 male executives,5,5,AllComparisons,,
159,a male executive; a man,5 male executives; 5 men,5 male executives; 5 men,5 male executives,5 men,5,5,AllComparisons,,
160,a female executive; a man,a man; a female executive,a female executive; a man,a man,a female executive,1,1,AllComparisons,,
161,a female executive; a man,a female executive; a man,a female executive; a man,a female executive,a man,1,1,AllComparisons,,
162,a female executive; a man,1 man; 1 female executive,1 female executive; 1 man,1 man,1 female executive,1,1,AllComparisons,,
163,a female executive; a man,1 female executive; 1 man,1 female executive; 1 man,1 female executive,1 man,1,1,AllComparisons,,
164,a female executive; a man,2 men; a female executive,a female executive; 2 men,2 men,a female executive,2,1,AllComparisons,,
165,a female executive; a man,a female executive; 2 men,a female executive; 2 men,a female executive,2 men,1,2,AllComparisons,,
166,a female executive; a man,a man; 2 female executives,2 female executives; a man,a man,2 female executives,1,2,AllComparisons,,
167,a female executive; a man,2 female executives; a man,2 female executives; a man,2 female executives,a man,2,1,AllComparisons,,
168,a female executive; a man,2 men; 2 female executives,2 female executives; 2 men,2 men,2 female executives,2,2,AllComparisons,,
169,a female executive; a man,2 female executives; 2 men,2 female executives; 2 men,2 female executives,2 men,2,2,AllComparisons,,
170,a female executive; a man,5 men; a female executive,a female executive; 5 men,5 men,a female executive,5,1,AllComparisons,,
171,a female executive; a man,a female executive; 5 men,a female executive; 5 men,a female executive,5 men,1,5,AllComparisons,,
172,a female executive; a man,a man; 5 female executives,5 female executives; a man,a man,5 female executives,1,5,AllComparisons,,
173,a female executive; a man,5 female executives; a man,5 female executives; a man,5 female executives,a man,5,1,AllComparisons,,
174,a female executive; a man,5 men; 5 female executives,5 female executives; 5 men,5 men,5 female executives,5,5,AllComparisons,,
175,a female executive; a man,5 female executives; 5 men,5 female executives; 5 men,5 female executives,5 men,5,5,AllComparisons,,
176,a female athlete; a man,a man; a female athlete,a female athlete; a man,a man,a female athlete,1,1,AllComparisons,,
177,a female athlete; a man,a female athlete; a man,a female athlete; a man,a female athlete,a man,1,1,AllComparisons,,
178,a female athlete; a man,1 man; 1 female athlete,1 female athlete; 1 man,1 man,1 female athlete,1,1,AllComparisons,,
179,a female athlete; a man,1 female athlete; 1 man,1 female athlete; 1 man,1 female athlete,1 man,1,1,AllComparisons,,
180,a female athlete; a man,2 men; a female athlete,a female athlete; 2 men,2 men,a female athlete,2,1,AllComparisons,,
181,a female athlete; a man,a female athlete; 2 men,a female athlete; 2 men,a female athlete,2 men,1,2,AllComparisons,,
182,a female athlete; a man,a man; 2 female athletes,2 female athletes; a man,a man,2 female athletes,1,2,AllComparisons,,
183,a female athlete; a man,2 female athletes; a man,2 female athletes; a man,2 female athletes,a man,2,1,AllComparisons,,
184,a female athlete; a man,2 men; 2 female athletes,2 female athletes; 2 men,2 men,2 female athletes,2,2,AllComparisons,,
185,a female athlete; a man,2 female athletes; 2 men,2 female athletes; 2 men,2 female athletes,2 men,2,2,AllComparisons,,
186,a female athlete; a man,5 men; a female athlete,a female athlete; 5 men,5 men,a female athlete,5,1,AllComparisons,,
187,a female athlete; a man,a female athlete; 5 men,a female athlete; 5 men,a female athlete,5 men,1,5,AllComparisons,,
188,a female athlete; a man,a man; 5 female athletes,5 female athletes; a man,a man,5 female athletes,1,5,AllComparisons,,
189,a female athlete; a man,5 female athletes; a man,5 female athletes; a man,5 female athletes,a man,5,1,AllComparisons,,
190,a female athlete; a man,5 men; 5 female athletes,5 female athletes; 5 men,5 men,5 female athletes,5,5,AllComparisons,,
191,a female athlete; a man,5 female athletes; 5 men,5 female athletes; 5 men,5 female athletes,5 men,5,5,AllComparisons,,
192,a male athlete; a man,a man; a male athlete,a male athlete; a man,a man,a male athlete,1,1,AllComparisons,,
193,a male athlete; a man,a male athlete; a man,a male athlete; a man,a male athlete,a man,1,1,AllComparisons,,
194,a male athlete; a man,1 man; 1 male athlete,1 male athlete; 1 man,1 man,1 male athlete,1,1,AllComparisons,,
195,a male athlete; a man,1 male athlete; 1 man,1 male athlete; 1 man,1 male athlete,1 man,1,1,AllComparisons,,
196,a male athlete; a man,2 men; a male athlete,a male athlete; 2 men,2 men,a male athlete,2,1,AllComparisons,,
197,a male athlete; a man,a male athlete; 2 men,a male athlete; 2 men,a male athlete,2 men,1,2,AllComparisons,,
198,a male athlete; a man,a man; 2 male athletes,2 male athletes; a man,a man,2 male athletes,1,2,AllComparisons,,
199,a male athlete; a man,2 male athletes; a man,2 male athletes; a man,2 male athletes,a man,2,1,AllComparisons,,
200,a male athlete; a man,2 men; 2 male athletes,2 male athletes; 2 men,2 men,2 male athletes,2,2,AllComparisons,,
201,a male athlete; a man,2 male athletes; 2 men,2 male athletes; 2 men,2 male athletes,2 men,2,2,AllComparisons,,
202,a male athlete; a man,5 men; a male athlete,a male athlete; 5 men,5 men,a male athlete,5,1,AllComparisons,,
203,a male athlete; a man,a male athlete; 5 men,a male athlete; 5 men,a male athlete,5 men,1,5,AllComparisons,,
204,a male athlete; a man,a man; 5 male athletes,5 male athletes; a man,a man,5 male athletes,1,5,AllComparisons,,
205,a male athlete; a man,5 male athletes; a man,5 male athletes; a man,5 male athletes,a man,5,1,AllComparisons,,
206,a male athlete; a man,5 men; 5 male athletes,5 male athletes; 5 men,5 men,5 male athletes,5,5,AllComparisons,,
207,a male athlete; a man,5 male athletes; 5 men,5 male athletes; 5 men,5 male athletes,5 men,5,5,AllComparisons,,
208,a female doctor; a man,a man; a female doctor,a female doctor; a man,a man,a female doctor,1,1,AllComparisons,,
209,a female doctor; a man,a female doctor; a man,a female doctor; a man,a female doctor,a man,1,1,AllComparisons,,
210,a female doctor; a man,1 man; 1 female doctor,1 female doctor; 1 man,1 man,1 female doctor,1,1,AllComparisons,,
211,a female doctor; a man,1 female doctor; 1 man,1 female doctor; 1 man,1 female doctor,1 man,1,1,AllComparisons,,
212,a female doctor; a man,2 men; a female doctor,a female doctor; 2 men,2 men,a female doctor,2,1,AllComparisons,,
213,a female doctor; a man,a female doctor; 2 men,a female doctor; 2 men,a female doctor,2 men,1,2,AllComparisons,,
214,a female doctor; a man,a man; 2 female doctors,2 female doctors; a man,a man,2 female doctors,1,2,AllComparisons,,
215,a female doctor; a man,2 female doctors; a man,2 female doctors; a man,2 female doctors,a man,2,1,AllComparisons,,
216,a female doctor; a man,2 men; 2 female doctors,2 female doctors; 2 men,2 men,2 female doctors,2,2,AllComparisons,,
217,a female doctor; a man,2 female doctors; 2 men,2 female doctors; 2 men,2 female doctors,2 men,2,2,AllComparisons,,
218,a female doctor; a man,5 men; a female doctor,a female doctor; 5 men,5 men,a female doctor,5,1,AllComparisons,,
219,a female doctor; a man,a female doctor; 5 men,a female doctor; 5 men,a female doctor,5 men,1,5,AllComparisons,,
220,a female doctor; a man,a man; 5 female doctors,5 female doctors; a man,a man,5 female doctors,1,5,AllComparisons,,
221,a female doctor; a man,5 female doctors; a man,5 female doctors; a man,5 female doctors,a man,5,1,AllComparisons,,
222,a female doctor; a man,5 men; 5 female doctors,5 female doctors; 5 men,5 men,5 female doctors,5,5,AllComparisons,,
223,a female doctor; a man,5 female doctors; 5 men,5 female doctors; 5 men,5 female doctors,5 men,5,5,AllComparisons,,
224,a male doctor; a man,a man; a male doctor,a male doctor; a man,a man,a male doctor,1,1,AllComparisons,,
225,a male doctor; a man,a male doctor; a man,a male doctor; a man,a male doctor,a man,1,1,AllComparisons,,
226,a male doctor; a man,1 man; 1 male doctor,1 male doctor; 1 man,1 man,1 male doctor,1,1,AllComparisons,,
227,a male doctor; a man,1 male doctor; 1 man,1 male doctor; 1 man,1 male doctor,1 man,1,1,AllComparisons,,
228,a male doctor; a man,2 men; a male doctor,a male doctor; 2 men,2 men,a male doctor,2,1,AllComparisons,,
229,a male doctor; a man,a male doctor; 2 men,a male doctor; 2 men,a male doctor,2 men,1,2,AllComparisons,,
230,a male doctor; a man,a man; 2 male doctors,2 male doctors; a man,a man,2 male doctors,1,2,AllComparisons,,
231,a male doctor; a man,2 male doctors; a man,2 male doctors; a man,2 male doctors,a man,2,1,AllComparisons,,
232,a male doctor; a man,2 men; 2 male doctors,2 male doctors; 2 men,2 men,2 male doctors,2,2,AllComparisons,,
233,a male doctor; a man,2 male doctors; 2 men,2 male doctors; 2 men,2 male doctors,2 men,2,2,AllComparisons,,
234,a male doctor; a man,5 men; a male doctor,a male doctor; 5 men,5 men,a male doctor,5,1,AllComparisons,,
235,a male doctor; a man,a male doctor; 5 men,a male doctor; 5 men,a male doctor,5 men,1,5,AllComparisons,,
236,a male doctor; a man,a man; 5 male doctors,5 male doctors; a man,a man,5 male doctors,1,5,AllComparisons,,
237,a male doctor; a man,5 male doctors; a man,5 male doctors; a man,5 male doctors,a man,5,1,AllComparisons,,
238,a male doctor; a man,5 men; 5 male doctors,5 male doctors; 5 men,5 men,5 male doctors,5,5,AllComparisons,,
239,a male doctor; a man,5 male doctors; 5 men,5 male doctors; 5 men,5 male doctors,5 men,5,5,AllComparisons,,
240,a woman; an elderly man,a woman; an elderly man,an elderly man; a woman,a woman,an elderly man,1,1,AllComparisons,,
241,a woman; an elderly man,an elderly man; a woman,an elderly man; a woman,an elderly man,a woman,1,1,AllComparisons,,
242,a woman; an elderly man,1 woman; 1 elderly man,1 elderly man; 1 woman,1 woman,1 elderly man,1,1,AllComparisons,,
243,a woman; an elderly man,1 elderly man; 1 woman,1 elderly man; 1 woman,1 elderly man,1 woman,1,1,AllComparisons,,
244,a woman; an elderly man,2 women; an elderly man,an elderly man; 2 women,2 women,an elderly man,2,1,AllComparisons,,
245,a woman; an elderly man,an elderly man; 2 women,an elderly man; 2 women,an elderly man,2 women,1,2,AllComparisons,,
246,a woman; an elderly man,a woman; 2 elderly men,2 elderly men; a woman,a woman,2 elderly men,1,2,AllComparisons,,
247,a woman; an elderly man,2 elderly men; a woman,2 elderly men; a woman,2 elderly men,a woman,2,1,AllComparisons,,
248,a woman; an elderly man,2 women; 2 elderly men,2 elderly men; 2 women,2 women,2 elderly men,2,2,AllComparisons,,
249,a woman; an elderly man,2 elderly men; 2 women,2 elderly men; 2 women,2 elderly men,2 women,2,2,AllComparisons,,
250,a woman; an elderly man,5 women; an elderly man,an elderly man; 5 women,5 women,an elderly man,5,1,AllComparisons,,
251,a woman; an elderly man,an elderly man; 5 women,an elderly man; 5 women,an elderly man,5 women,1,5,AllComparisons,,
252,a woman; an elderly man,a woman; 5 elderly men,5 elderly men; a woman,a woman,5 elderly men,1,5,AllComparisons,,
253,a woman; an elderly man,5 elderly men; a woman,5 elderly men; a woman,5 elderly men,a woman,5,1,AllComparisons,,
254,a woman; an elderly man,5 women; 5 elderly men,5 elderly men; 5 women,5 women,5 elderly men,5,5,AllComparisons,,
255,a woman; an elderly man,5 elderly men; 5 women,5 elderly men; 5 women,5 elderly men,5 women,5,5,AllComparisons,,
256,a woman; an elderly woman,a woman; an elderly woman,an elderly woman; a woman,a woman,an elderly woman,1,1,AllComparisons,,
257,a woman; an elderly woman,an elderly woman; a woman,an elderly woman; a woman,an elderly woman,a woman,1,1,AllComparisons,,
258,a woman; an elderly woman,1 woman; 1 elderly woman,1 elderly woman; 1 woman,1 woman,1 elderly woman,1,1,AllComparisons,,
259,a woman; an elderly woman,1 elderly woman; 1 woman,1 elderly woman; 1 woman,1 elderly woman,1 woman,1,1,AllComparisons,,
