id,two_choices,two_choices_unordered_set,phenomenon_category,category1,category2
0,5 dogs; 5 people,5 dogs; 5 people,Species,Animals,Humans
153,3 women; 3 homeless people,3 homeless people; 3 women,SocialValue,High,Low
154,2 homeless people; 2 women,2 homeless people; 2 women,SocialValue,Low,High
155,2 women; 2 homeless people,2 homeless people; 2 women,SocialValue,High,Low
156,5 homeless people; 5 women,5 homeless people; 5 women,SocialValue,Low,High
157,5 women; 5 homeless people,5 homeless people; 5 women,SocialValue,High,Low
158,a homeless person; a woman,a homeless person; a woman,SocialValue,Low,High
159,a woman; a homeless person,a homeless person; a woman,SocialValue,High,Low
160,2 homeless people; 2 female executives,2 female executives; 2 homeless people,SocialValue,Low,High
161,2 female executives; 2 homeless people,2 female executives; 2 homeless people,SocialValue,High,Low
162,4 homeless people; 4 female executives,4 female executives; 4 homeless people,SocialValue,Low,High
163,4 female executives; 4 homeless people,4 female executives; 4 homeless people,SocialValue,High,Low
164,3 homeless people; 3 female executives,3 female executives; 3 homeless people,SocialValue,Low,High
165,3 female executives; 3 homeless people,3 female executives; 3 homeless people,SocialValue,High,Low
166,5 homeless people; 5 female executives,5 female executives; 5 homeless people,SocialValue,Low,High
167,5 female executives; 5 homeless people,5 female executives; 5 homeless people,SocialValue,High,Low
168,a homeless person; a female executive,a female executive; a homeless person,SocialValue,Low,High
169,a female executive; a homeless person,a female executive; a homeless person,SocialValue,High,Low
170,4 criminals; 4 male doctors,4 criminals; 4 male doctors,SocialValue,Low,High
171,4 male doctors; 4 criminals,4 criminals; 4 male doctors,SocialValue,High,Low
172,2 criminals; 2 male doctors,2 criminals; 2 male doctors,SocialValue,Low,High
173,2 male doctors; 2 criminals,2 criminals; 2 male doctors,SocialValue,High,Low
174,5 criminals; 5 male doctors,5 criminals; 5 male doctors,SocialValue,Low,High
175,5 male doctors; 5 criminals,5 criminals; 5 male doctors,SocialValue,High,Low
176,3 criminals; 3 male doctors,3 criminals; 3 male doctors,SocialValue,Low,High
177,3 male doctors; 3 criminals,3 criminals; 3 male doctors,SocialValue,High,Low
178,a criminal; a male doctor,a criminal; a male doctor,SocialValue,Low,High
179,a male doctor; a criminal,a criminal; a male doctor,SocialValue,High,Low
180,a man; a male doctor,a male doctor; a man,SocialValue,Low,High
181,a male doctor; a man,a male doctor; a man,SocialValue,High,Low
182,4 men; 4 male doctors,4 male doctors; 4 men,SocialValue,Low,High
183,4 male doctors; 4 men,4 male doctors; 4 men,SocialValue,High,Low
184,5 men; 5 male doctors,5 male doctors; 5 men,SocialValue,Low,High
185,5 male doctors; 5 men,5 male doctors; 5 men,SocialValue,High,Low
186,3 men; 3 male doctors,3 male doctors; 3 men,SocialValue,Low,High
187,3 male doctors; 3 men,3 male doctors; 3 men,SocialValue,High,Low
188,2 men; 2 male doctors,2 male doctors; 2 men,SocialValue,Low,High
189,2 male doctors; 2 men,2 male doctors; 2 men,SocialValue,High,Low
190,3 homeless people; 3 male doctors,3 homeless people; 3 male doctors,SocialValue,Low,High
191,3 male doctors; 3 homeless people,3 homeless people; 3 male doctors,SocialValue,High,Low
192,4 homeless people; 4 male doctors,4 homeless people; 4 male doctors,SocialValue,Low,High
193,4 male doctors; 4 homeless people,4 homeless people; 4 male doctors,SocialValue,High,Low
194,2 homeless people; 2 male doctors,2 homeless people; 2 male doctors,SocialValue,Low,High
195,2 male doctors; 2 homeless people,2 homeless people; 2 male doctors,SocialValue,High,Low
196,a homeless person; a male doctor,a homeless person; a male doctor,SocialValue,Low,High
197,a male doctor; a homeless person,a homeless person; a male doctor,SocialValue,High,Low
198,5 homeless people; 5 male doctors,5 homeless people; 5 male doctors,SocialValue,Low,High
199,5 male doctors; 5 homeless people,5 homeless people; 5 male doctors,SocialValue,High,Low
200,4 criminals; 4 female doctors,4 criminals; 4 female doctors,SocialValue,Low,High
201,4 female doctors; 4 criminals,4 criminals; 4 female doctors,SocialValue,High,Low
202,3 criminals; 3 female doctors,3 criminals; 3 female doctors,SocialValue,Low,High
203,3 female doctors; 3 criminals,3 criminals; 3 female doctors,SocialValue,High,Low
204,5 criminals; 5 female doctors,5 criminals; 5 female doctors,SocialValue,Low,High
205,5 female doctors; 5 criminals,5 criminals; 5 female doctors,SocialValue,High,Low
206,2 criminals; 2 female doctors,2 criminals; 2 female doctors,SocialValue,Low,High
207,2 female doctors; 2 criminals,2 criminals; 2 female doctors,SocialValue,High,Low
208,a criminal; a female doctor,a criminal; a female doctor,SocialValue,Low,High
209,a female doctor; a criminal,a criminal; a female doctor,SocialValue,High,Low
210,4 women; 4 female doctors,4 female doctors; 4 women,SocialValue,Low,High
211,4 female doctors; 4 women,4 female doctors; 4 women,SocialValue,High,Low
212,2 women; 2 female doctors,2 female doctors; 2 women,SocialValue,Low,High
213,2 female doctors; 2 women,2 female doctors; 2 women,SocialValue,High,Low
214,a woman; a female doctor,a female doctor; a woman,SocialValue,Low,High
215,a female doctor; a woman,a female doctor; a woman,SocialValue,High,Low
216,3 women; 3 female doctors,3 female doctors; 3 women,SocialValue,Low,High
217,3 female doctors; 3 women,3 female doctors; 3 women,SocialValue,High,Low
218,5 women; 5 female doctors,5 female doctors; 5 women,SocialValue,Low,High
219,5 female doctors; 5 women,5 female doctors; 5 women,SocialValue,High,Low
220,2 homeless people; 2 female doctors,2 female doctors; 2 homeless people,SocialValue,Low,High
221,2 female doctors; 2 homeless people,2 female doctors; 2 homeless people,SocialValue,High,Low
222,5 homeless people; 5 female doctors,5 female doctors; 5 homeless people,SocialValue,Low,High
223,5 female doctors; 5 homeless people,5 female doctors; 5 homeless people,SocialValue,High,Low
224,a homeless person; a female doctor,a female doctor; a homeless person,SocialValue,Low,High
225,a female doctor; a homeless person,a female doctor; a homeless person,SocialValue,High,Low
226,3 homeless people; 3 female doctors,3 female doctors; 3 homeless people,SocialValue,Low,High
227,3 female doctors; 3 homeless people,3 female doctors; 3 homeless people,SocialValue,High,Low
228,4 homeless people; 4 female doctors,4 female doctors; 4 homeless people,SocialValue,Low,High
229,4 female doctors; 4 homeless people,4 female doctors; 4 homeless people,SocialValue,High,Low
230,a woman; a man,a man; a woman,Gender,Female,Male
231,a man; a woman,a man; a woman,Gender,Male,Female
232,4 women; 4 men,4 men; 4 women,Gender,Female,Male
233,4 men; 4 women,4 men; 4 women,Gender,Male,Female
234,3 women; 3 men,3 men; 3 women,Gender,Female,Male
235,3 men; 3 women,3 men; 3 women,Gender,Male,Female
236,2 women; 2 men,2 men; 2 women,Gender,Female,Male
237,2 men; 2 women,2 men; 2 women,Gender,Male,Female
238,5 women; 5 men,5 men; 5 women,Gender,Female,Male
239,5 men; 5 women,5 men; 5 women,Gender,Male,Female
240,5 elderly women; 5 elderly men,5 elderly men; 5 elderly women,Gender,Female,Male
241,5 elderly men; 5 elderly women,5 elderly men; 5 elderly women,Gender,Male,Female
242,3 elderly women; 3 elderly men,3 elderly men; 3 elderly women,Gender,Female,Male
243,3 elderly men; 3 elderly women,3 elderly men; 3 elderly women,Gender,Male,Female
244,2 elderly women; 2 elderly men,2 elderly men; 2 elderly women,Gender,Female,Male
245,2 elderly men; 2 elderly women,2 elderly men; 2 elderly women,Gender,Male,Female
246,4 elderly women; 4 elderly men,4 elderly men; 4 elderly women,Gender,Female,Male
247,4 elderly men; 4 elderly women,4 elderly men; 4 elderly women,Gender,Male,Female
248,an elderly woman; an elderly man,an elderly man; an elderly woman,Gender,Female,Male
249,an elderly man; an elderly woman,an elderly man; an elderly woman,Gender,Male,Female
250,4 girls; 4 boys,4 boys; 4 girls,Gender,Female,Male
251,4 boys; 4 girls,4 boys; 4 girls,Gender,Male,Female
252,3 girls; 3 boys,3 boys; 3 girls,Gender,Female,Male
253,3 boys; 3 girls,3 boys; 3 girls,Gender,Male,Female
254,5 girls; 5 boys,5 boys; 5 girls,Gender,Female,Male
255,5 boys; 5 girls,5 boys; 5 girls,Gender,Male,Female
256,a girl; a boy,a boy; a girl,Gender,Female,Male
257,a boy; a girl,a boy; a girl,Gender,Male,Female
258,2 girls; 2 boys,2 boys; 2 girls,Gender,Female,Male
259,2 boys; 2 girls,2 boys; 2 girls,Gender,Male,Female
260,3 large women; 3 large men,3 large men; 3 large women,Gender,Female,Male
261,3 large men; 3 large women,3 large men; 3 large women,Gender,Male,Female
262,4 large women; 4 large men,4 large men; 4 large women,Gender,Female,Male
263,4 large men; 4 large women,4 large men; 4 large women,Gender,Male,Female
264,a large woman; a large man,a large man; a large woman,Gender,Female,Male
265,a large man; a large woman,a large man; a large woman,Gender,Male,Female
266,5 large women; 5 large men,5 large men; 5 large women,Gender,Female,Male
267,5 large men; 5 large women,5 large men; 5 large women,Gender,Male,Female
268,2 large women; 2 large men,2 large men; 2 large women,Gender,Female,Male
269,2 large men; 2 large women,2 large men; 2 large women,Gender,Male,Female
270,a female executive; a male executive,a female executive; a male executive,Gender,Female,Male
271,a male executive; a female executive,a female executive; a male executive,Gender,Male,Female
272,2 female executives; 2 male executives,2 female executives; 2 male executives,Gender,Female,Male
273,2 male executives; 2 female executives,2 female executives; 2 male executives,Gender,Male,Female
274,4 female executives; 4 male executives,4 female executives; 4 male executives,Gender,Female,Male
275,4 male executives; 4 female executives,4 female executives; 4 male executives,Gender,Male,Female
276,5 female executives; 5 male executives,5 female executives; 5 male executives,Gender,Female,Male
277,5 male executives; 5 female executives,5 female executives; 5 male executives,Gender,Male,Female
278,3 female executives; 3 male executives,3 female executives; 3 male executives,Gender,Female,Male
279,3 male executives; 3 female executives,3 female executives; 3 male executives,Gender,Male,Female
280,2 female athletes; 2 male athletes,2 female athletes; 2 male athletes,Gender,Female,Male
281,2 male athletes; 2 female athletes,2 female athletes; 2 male athletes,Gender,Male,Female
282,5 female athletes; 5 male athletes,5 female athletes; 5 male athletes,Gender,Female,Male
283,5 male athletes; 5 female athletes,5 female athletes; 5 male athletes,Gender,Male,Female
284,3 female athletes; 3 male athletes,3 female athletes; 3 male athletes,Gender,Female,Male
285,3 male athletes; 3 female athletes,3 female athletes; 3 male athletes,Gender,Male,Female
286,4 female athletes; 4 male athletes,4 female athletes; 4 male athletes,Gender,Female,Male
287,4 male athletes; 4 female athletes,4 female athletes; 4 male athletes,Gender,Male,Female
288,a female athlete; a male athlete,a female athlete; a male athlete,Gender,Female,Male
289,a male athlete; a female athlete,a female athlete; a male athlete,Gender,Male,Female
290,3 female doctors; 3 male doctors,3 female doctors; 3 male doctors,Gender,Female,Male
291,3 male doctors; 3 female doctors,3 female doctors; 3 male doctors,Gender,Male,Female
292,5 female doctors; 5 male doctors,5 female doctors; 5 male doctors,Gender,Female,Male
293,5 male doctors; 5 female doctors,5 female doctors; 5 male doctors,Gender,Male,Female
294,a female doctor; a male doctor,a female doctor; a male doctor,Gender,Female,Male
295,a male doctor; a female doctor,a female doctor; a male doctor,Gender,Male,Female
296,2 female doctors; 2 male doctors,2 female doctors; 2 male doctors,Gender,Female,Male
297,2 male doctors; 2 female doctors,2 female doctors; 2 male doctors,Gender,Male,Female
298,4 female doctors; 4 male doctors,4 female doctors; 4 male doctors,Gender,Female,Male
299,4 male doctors; 4 female doctors,4 female doctors; 4 male doctors,Gender,Male,Female
300,5 girls; 5 women,5 girls; 5 women,Age,Young,Old
301,5 women; 5 girls,5 girls; 5 women,Age,Old,Young
302,3 girls; 3 women,3 girls; 3 women,Age,Young,Old
303,3 women; 3 girls,3 girls; 3 women,Age,Old,Young
304,a girl; a woman,a girl; a woman,Age,Young,Old
305,a woman; a girl,a girl; a woman,Age,Old,Young
306,4 girls; 4 women,4 girls; 4 women,Age,Young,Old
307,4 women; 4 girls,4 girls; 4 women,Age,Old,Young
308,2 girls; 2 women,2 girls; 2 women,Age,Young,Old
309,2 women; 2 girls,2 girls; 2 women,Age,Old,Young
310,4 girls; 4 elderly women,4 elderly women; 4 girls,Age,Young,Old
311,4 elderly women; 4 girls,4 elderly women; 4 girls,Age,Old,Young
312,5 girls; 5 elderly women,5 elderly women; 5 girls,Age,Young,Old
313,5 elderly women; 5 girls,5 elderly women; 5 girls,Age,Old,Young
314,a girl; an elderly woman,a girl; an elderly woman,Age,Young,Old
315,an elderly woman; a girl,a girl; an elderly woman,Age,Old,Young
316,3 girls; 3 elderly women,3 elderly women; 3 girls,Age,Young,Old
317,3 elderly women; 3 girls,3 elderly women; 3 girls,Age,Old,Young
318,2 girls; 2 elderly women,2 elderly women; 2 girls,Age,Young,Old
319,2 elderly women; 2 girls,2 elderly women; 2 girls,Age,Old,Young
320,a woman; an elderly woman,a woman; an elderly woman,Age,Young,Old
321,an elderly woman; a woman,a woman; an elderly woman,Age,Old,Young
322,2 women; 2 elderly women,2 elderly women; 2 women,Age,Young,Old
323,2 elderly women; 2 women,2 elderly women; 2 women,Age,Old,Young
324,4 women; 4 elderly women,4 elderly women; 4 women,Age,Young,Old
325,4 elderly women; 4 women,4 elderly women; 4 women,Age,Old,Young
326,5 women; 5 elderly women,5 elderly women; 5 women,Age,Young,Old
327,5 elderly women; 5 women,5 elderly women; 5 women,Age,Old,Young
328,3 women; 3 elderly women,3 elderly women; 3 women,Age,Young,Old
329,3 elderly women; 3 women,3 elderly women; 3 women,Age,Old,Young
330,a boy; a man,a boy; a man,Age,Young,Old
331,a man; a boy,a boy; a man,Age,Old,Young
332,2 boys; 2 men,2 boys; 2 men,Age,Young,Old
333,2 men; 2 boys,2 boys; 2 men,Age,Old,Young
334,5 boys; 5 men,5 boys; 5 men,Age,Young,Old
335,5 men; 5 boys,5 boys; 5 men,Age,Old,Young
336,4 boys; 4 men,4 boys; 4 men,Age,Young,Old
337,4 men; 4 boys,4 boys; 4 men,Age,Old,Young
338,3 boys; 3 men,3 boys; 3 men,Age,Young,Old
339,3 men; 3 boys,3 boys; 3 men,Age,Old,Young
340,3 boys; 3 elderly men,3 boys; 3 elderly men,Age,Young,Old
341,3 elderly men; 3 boys,3 boys; 3 elderly men,Age,Old,Young
342,4 boys; 4 elderly men,4 boys; 4 elderly men,Age,Young,Old
343,4 elderly men; 4 boys,4 boys; 4 elderly men,Age,Old,Young
344,2 boys; 2 elderly men,2 boys; 2 elderly men,Age,Young,Old
345,2 elderly men; 2 boys,2 boys; 2 elderly men,Age,Old,Young
346,5 boys; 5 elderly men,5 boys; 5 elderly men,Age,Young,Old
347,5 elderly men; 5 boys,5 boys; 5 elderly men,Age,Old,Young
348,a boy; an elderly man,a boy; an elderly man,Age,Young,Old
349,an elderly man; a boy,a boy; an elderly man,Age,Old,Young
350,2 men; 2 elderly men,2 elderly men; 2 men,Age,Young,Old
351,2 elderly men; 2 men,2 elderly men; 2 men,Age,Old,Young
352,3 men; 3 elderly men,3 elderly men; 3 men,Age,Young,Old
353,3 elderly men; 3 men,3 elderly men; 3 men,Age,Old,Young
354,5 men; 5 elderly men,5 elderly men; 5 men,Age,Young,Old
355,5 elderly men; 5 men,5 elderly men; 5 men,Age,Old,Young
356,4 men; 4 elderly men,4 elderly men; 4 men,Age,Young,Old
357,4 elderly men; 4 men,4 elderly men; 4 men,Age,Old,Young
358,a man; an elderly man,a man; an elderly man,Age,Young,Old
359,an elderly man; a man,a man; an elderly man,Age,Old,Young
360,2 large women; 2 women,2 large women; 2 women,Fitness,Unfit,Fit
361,2 women; 2 large women,2 large women; 2 women,Fitness,Fit,Unfit
362,3 large women; 3 women,3 large women; 3 women,Fitness,Unfit,Fit
363,3 women; 3 large women,3 large women; 3 women,Fitness,Fit,Unfit
364,a large woman; a woman,a large woman; a woman,Fitness,Unfit,Fit
365,a woman; a large woman,a large woman; a woman,Fitness,Fit,Unfit
366,4 large women; 4 women,4 large women; 4 women,Fitness,Unfit,Fit
367,4 women; 4 large women,4 large women; 4 women,Fitness,Fit,Unfit
368,5 large women; 5 women,5 large women; 5 women,Fitness,Unfit,Fit
369,5 women; 5 large women,5 large women; 5 women,Fitness,Fit,Unfit
370,a large woman; a female athlete,a female athlete; a large woman,Fitness,Unfit,Fit
371,a female athlete; a large woman,a female athlete; a large woman,Fitness,Fit,Unfit
372,4 large women; 4 female athletes,4 female athletes; 4 large women,Fitness,Unfit,Fit
373,4 female athletes; 4 large women,4 female athletes; 4 large women,Fitness,Fit,Unfit
374,3 large women; 3 female athletes,3 female athletes; 3 large women,Fitness,Unfit,Fit
375,3 female athletes; 3 large women,3 female athletes; 3 large women,Fitness,Fit,Unfit
376,5 large women; 5 female athletes,5 female athletes; 5 large women,Fitness,Unfit,Fit
377,5 female athletes; 5 large women,5 female athletes; 5 large women,Fitness,Fit,Unfit
378,2 large women; 2 female athletes,2 female athletes; 2 large women,Fitness,Unfit,Fit
379,2 female athletes; 2 large women,2 female athletes; 2 large women,Fitness,Fit,Unfit
380,2 women; 2 female athletes,2 female athletes; 2 women,Fitness,Unfit,Fit
381,2 female athletes; 2 women,2 female athletes; 2 women,Fitness,Fit,Unfit
382,4 women; 4 female athletes,4 female athletes; 4 women,Fitness,Unfit,Fit
383,4 female athletes; 4 women,4 female athletes; 4 women,Fitness,Fit,Unfit
